종가,시가,고가,저가,거래량,변동
40500.0,40600.0,41100.0,40450.0,14251826.0,주가 하락 또는 변동 없음
40950.0,40900.0,41400.0,40850.0,11433083.0,주가 상승
40200.0,40450.0,40650.0,40000.0,14892263.0,주가 하락 또는 변동 없음
40250.0,40600.0,40700.0,40200.0,10638766.0,주가 상승
40450.0,40250.0,40700.0,40150.0,12024279.0,주가 상승
40000.0,40650.0,40750.0,40000.0,26254646.0,주가 하락 또는 변동 없음
38950.0,40200.0,40200.0,38700.0,19671783.0,주가 하락 또는 변동 없음
39150.0,38650.0,39600.0,38650.0,11532968.0,주가 상승
38900.0,38300.0,39200.0,38300.0,11042101.0,주가 하락 또는 변동 없음
39100.0,38900.0,39350.0,38850.0,9942037.0,주가 상승
38650.0,38600.0,39100.0,38500.0,11937617.0,주가 하락 또는 변동 없음
38650.0,38200.0,38650.0,38100.0,14947080.0,주가 하락 또는 변동 없음
38800.0,38500.0,39050.0,38300.0,9729530.0,주가 상승
38350.0,38400.0,38750.0,38300.0,12707675.0,주가 하락 또는 변동 없음
38250.0,38700.0,38800.0,38100.0,10510643.0,주가 하락 또는 변동 없음
38700.0,38250.0,38900.0,38200.0,9900267.0,주가 상승
38750.0,39400.0,39400.0,38550.0,7847664.0,주가 상승
37600.0,38300.0,38550.0,37450.0,12471493.0,주가 하락 또는 변동 없음
37450.0,37450.0,37600.0,36850.0,14108958.0,주가 하락 또는 변동 없음
38750.0,38000.0,38900.0,37800.0,12748997.0,주가 상승
38100.0,38000.0,39200.0,37950.0,12756554.0,주가 하락 또는 변동 없음
39600.0,38650.0,39600.0,38300.0,17452708.0,주가 상승
39800.0,40000.0,40150.0,39600.0,14731699.0,주가 상승
40500.0,40350.0,40550.0,39950.0,11661063.0,주가 상승
40050.0,40450.0,40700.0,39850.0,11984996.0,주가 하락 또는 변동 없음
41100.0,40050.0,41100.0,39850.0,11492756.0,주가 상승
41450.0,41150.0,41450.0,40700.0,8491595.0,주가 상승
41950.0,41700.0,42100.0,41450.0,11736903.0,주가 상승
42300.0,42000.0,42400.0,41950.0,11029256.0,주가 상승
42750.0,42700.0,42750.0,41900.0,11355701.0,주가 상승
42150.0,42750.0,42850.0,41850.0,9964356.0,주가 하락 또는 변동 없음
42000.0,41350.0,42250.0,41350.0,11071079.0,주가 하락 또는 변동 없음
43050.0,43050.0,43100.0,42350.0,14747623.0,주가 상승
44750.0,44300.0,44750.0,43750.0,22789395.0,주가 상승
45050.0,45000.0,45500.0,44600.0,17998914.0,주가 상승
45500.0,45050.0,45500.0,44350.0,16215017.0,주가 상승
46400.0,44800.0,46400.0,44800.0,17505980.0,주가 상승
46150.0,46650.0,47050.0,46150.0,21621145.0,주가 하락 또는 변동 없음
46350.0,46650.0,46950.0,46250.0,13832454.0,주가 상승
46200.0,46800.0,47100.0,46200.0,15872001.0,주가 하락 또는 변동 없음
44800.0,45700.0,45700.0,44650.0,12689196.0,주가 하락 또는 변동 없음
45000.0,44500.0,45000.0,44250.0,11125044.0,주가 상승
46050.0,44650.0,46250.0,44650.0,13184367.0,주가 상승
46200.0,46400.0,46700.0,46000.0,11299738.0,주가 상승
47500.0,46600.0,47500.0,46150.0,17259341.0,주가 상승
46050.0,46750.0,46850.0,45650.0,10554643.0,주가 하락 또는 변동 없음
46200.0,46500.0,46850.0,45850.0,8183728.0,주가 상승
